WORD , COUNT
the , 8664
and , 5436
to , 4688
was , 3688
a , 3624
he , 3504
of , 3256
it , 2612
in , 2568
that , 2376
had , 2000
she , 1904
they , 1900
I , 1868
her , 1828
his , 1824
you , 1720
Peter , 1596
but , 1568
not , 1504
for , 1452
said , 1432
Wendy , 1424
on , 1372
him , 1352
is , 1344
with , 1264
at , 1228
as , 1224
s , 1128
them , 1116
have , 1008
were , 984
be , 956
all , 920
so , 868
their , 860
would , 844
one , 804
this , 756
He , 724
are , 716
It , 688
out , 660
t , 652
up , 648
by , 640
The , 616
when , 616
Hook , 616
no , 588
there , 576
could , 564
we , 560
cried , 544
been , 544
who , 536
John , 532
from , 524
now , 516
if , 508
She , 504
time , 496
did , 496
which , 472
Darling , 460
They , 448
what , 444
do , 440
Michael , 436
about , 424
into , 408
see , 408
boys , 404
me , 404
an , 396
little , 396
children , 380
like , 376
know , 368
mother , 356
again , 356
only , 352
But , 352
night , 352
then , 344
way , 340
first , 332
will , 324
more , 312
thought , 312
go , 308
came , 304
just , 304
other , 292
Mrs , 288
your , 284
my , 280
knew , 276
can , 276
course , 272
never , 268
or , 264
Then , 260
You , 256
Nana , 256
down , 252
very , 252
back , 252
What , 252
quite , 248
bed , 248
over , 248
must , 244
come , 240
say , 240
once , 240
don , 236
There , 236
moment , 236
how , 236
last , 232
still , 232
think , 232
hand , 228
than , 228
man , 224
And , 224
such , 220
No , 220
Tink , 220
pirates , 220
Smee , 220
went , 216
away , 216
always , 212
Slightly , 212
made , 208
long , 204
before , 204
us , 204
Oh , 200
round , 200
because , 200
let , 196
ever , 192
am , 192
though , 192
house , 188
through , 188
heard , 188
really , 184
Mr , 184
after , 184
thing , 184
Yes , 184
tell , 184
asked , 184
should , 180
Tootles , 180
Of , 176
saw , 176
himself , 176
off , 168
too , 168
look , 168
get , 168
two , 164
even , 164
where , 164
looking , 164
rather , 164
boy , 160
window , 160
put , 160
nursery , 156
room , 156
light , 156
every , 156
eyes , 156
most , 152
has , 152
Nibs , 152
any , 148
much , 148
If , 148
sound , 148
told , 148
home , 148
father , 144
good , 144
gave , 144
That , 144
sure , 144
In , 144
sat , 140
called , 140
found , 140
make , 140
voice , 140
almost , 136
looked , 136
Now , 136
things , 136
fly , 136
another , 132
without , 132
lady , 132
got , 132
well , 132
island , 132
take , 132
We , 132
hear , 132
going , 132
may , 132
right , 132
water , 132
upon , 132
pirate , 132
also , 128
tree , 128
face , 128
fell , 124
here , 120
each , 120
day , 120
some , 120
replied , 120
ground , 120
ship , 120
mouth , 116
might , 116
This , 116
lagoon , 116
soon , 116
want , 116
Tinker , 116
Bell , 116
Starkey , 116
three , 112
cry , 112
believe , 112
best , 112
dear , 112
To , 112
Jane , 112
As , 108
For , 108
A , 108
being , 104
many , 104
old , 104
So , 104
while , 104
others , 104
air , 104
redskins , 104
why , 104
seen , 100
Pan , 100
tried , 100
crocodile , 100
took , 96
own , 96
How , 96
asleep , 96
these , 96
its , 96
shall , 96
something , 96
trees , 96
great , 96
story , 96
give , 96
flew , 96
same , 92
floor , 92
seemed , 92
felt , 92
door , 92
lost , 92
help , 92
captain , 92
under , 92
bird , 92
sometimes , 88
won , 88
Neverland , 88
stood , 88
words , 88
remember , 88
till , 88
head , 88
our , 88
suddenly , 88
against , 88
answered , 88
Ay , 88
Curly , 88
rock , 88
All , 84
until , 84
answer , 84
hands , 84
ll , 84
longer , 84
whispered , 84
Do , 84
hat , 84
however , 80
When , 80
nothing , 80
sleep , 80
began , 80
At , 80
fairies , 80
true , 80
evening , 80
open , 80
George , 80
medicine , 80
girl , 80
O , 80
life , 80
glad , 80
fairy , 80
save , 80
around , 76
themselves , 76
shadow , 76
arms , 76
gone , 76
Let , 76
m , 76
often , 76
mind , 76
except , 76
hook , 76
kennel , 72
lovely , 72
days , 72
lay , 72
those , 72
yet , 72
part , 72
name , 72
dead , 72
strange , 72
ones , 72
end , 72
indeed , 72
far , 72
heart , 72
whether , 72
cabin , 72
wanted , 68
side , 68
kiss , 68
ran , 68
real , 68
white , 68
mothers , 68
quickly , 68
perhaps , 68
thus , 68
herself , 68
Not , 68
says , 68
His , 68
already , 68
crying , 68
Chapter , 68
form , 68
followed , 64
new , 64
feeling , 64
find , 64
sight , 64
instead , 64
thinking , 64
grown , 64
saying , 64
kind , 64
flung , 64
does , 64
nine , 64
terrible , 64
sea , 64
nest , 64
both , 60
coming , 60
six , 60
ready , 60
whole , 60
flying , 60
alone , 60
feet , 60
love , 60
Perhaps , 60
returned , 60
seven , 60
arm , 60
better , 60
left , 60
behind , 60
dogs , 60
hour , 60
fear , 60
liked , 60
need , 60
passed , 56
doing , 56
cut , 56
large , 56
adventure , 56
least , 56
isn , 56
used , 56
explained , 56
comes , 56
fire , 56
forgotten , 56
Are , 56
woman , 56
place , 56
among , 56
iron , 56
person , 52
speak , 52
happened , 52
mean , 52
sweet , 52
near , 52
showed , 52
trying , 52
between , 52
leave , 52
having , 52
loved , 52
school , 52
Why , 52
taken , 52
Mother , 52
kept , 52
silence , 52
anything , 52
big , 52
brought , 52
rose , 52
merely , 52
silly , 52
With , 52
sitting , 52
dark , 52
pretty , 52
above , 52
Tiger , 52
Lily , 52
exactly , 52
nice , 48
keep , 48
turned , 48
dropped , 48
stories , 48
meant , 48
adventures , 48
foot , 48
On , 48
THE , 48
black , 48
nurse , 48
child , 48
done , 48
wish , 48
ago , 48
beds , 48
awfully , 48
close , 48
use , 48
broke , 48
Who , 48
mermaids , 48
pass , 48
spoke , 48
known , 48
twins , 48
Cecco , 48
Never , 48
turn , 48
next , 44
week , 44
small , 44
getting , 44
playing , 44
leaves , 44
play , 44
idea , 44
matter , 44
woke , 44
By , 44
Her , 44
rushed , 44
short , 44
became , 44
times , 44
Even , 44
wonder , 44
Father , 44
waiting , 44
Well , 44
exclaimed , 44
fall , 44
continued , 44
figure , 44
carried , 44
shut , 44
across , 44
sun , 44
drew , 44
fight , 44
Thus , 44
become , 44
claw , 44
tick , 44
Hullo , 44
plank , 44
spring , 44
morning , 40
knees , 40
carry , 40
showing , 40
boat , 40
together , 40
word , 40
My , 40
chimney , 40
frightfully , 40
Look , 40
slept , 40
hung , 40
dog , 40
dreadful , 40
happy , 40
tie , 40
One , 40
Liza , 40
tied , 40
everything , 40
faces , 40
feel , 40
forgot , 40
sorry , 40
making , 40
able , 40
few , 40
inside , 40
rest , 40
Don , 40
re , 40
struck , 40
surprise , 40
whom , 40
forward , 40
return , 40
Where , 40
game , 40
reached , 40
birds , 40
bit , 40
change , 40
ay , 40
brave , 40
gay , 40
question , 40
tom , 40
top , 36
draw , 36
probably , 36
less , 36
knows , 36
lights , 36
live , 36
full , 36
body , 36
met , 36
Some , 36
smile , 36
suppose , 36
half , 36
ten , 36
bad , 36
shouted , 36
watch , 36
show , 36
stars , 36
watching , 36
hair , 36
cannot , 36
breathing , 36
believed , 36
stick , 36
slowly , 36
questions , 36
pieces , 36
listened , 36
immediately , 36
sleeping , 36
tails , 36
front , 36
eggs , 36
yes , 36
ill , 36
Jukes , 36
die , 36
arrow , 36
crow , 36
raised , 36
hope , 36
cleaning , 36
nose , 32
parents , 32
understand , 32
talk , 32
lit , 32
oh , 32
blew , 32
within , 32
teeth , 32
leapt , 32
killed , 32
lived , 32
late , 32
easily , 32
Ah , 32
ought , 32
call , 32
clock , 32
wearing , 32
joy , 32
ask , 32
nearly , 32
wasn , 32
Sometimes , 32
nature , 32
ve , 32
knowing , 32
funny , 32
world , 32
listen , 32
unhappy , 32
danger , 32
year , 32
street , 32
manner , 32
pleased , 32
dance , 32
grow , 32
held , 32
toward , 32
keeping , 32
girls , 32
understood , 32
wind , 32
colour , 32
sharp , 32
reach , 32
sir , 32
meet , 32
blood , 32
dagger , 32
song , 32
forget , 32
cast , 32
hollow , 32
eye , 32
Captain , 32
mainland , 32
stopped , 32
fit , 32
written , 32
walk , 32
Had , 32
feelings , 32
board , 32
twin , 32
heartless , 32
land , 28
leaf , 28
minutes , 28
peeping , 28
remembered , 28
frightened , 28
beginning , 28
sort , 28
wood , 28
dreaming , 28
grew , 28
discovered , 28
safe , 28
quiet , 28
straight , 28
While , 28
broken , 28
screamed , 28
hated , 28
hanging , 28
telling , 28
married , 28
proud , 28
wants , 28
third , 28
Boy , 28
sternly , 28
men , 28
stop , 28
fair , 28
calling , 28
beautiful , 28
anxious , 28
low , 28
blown , 28
softly , 28
office , 28
important , 28
Is , 28
awful , 28
frightful , 28
listening , 28
stand , 28
young , 28
nearer , 28
run , 28
baby , 28
laugh , 28
Oo , 28
signed , 28
Here , 28
since , 28
figures , 28
cold , 28
gaily , 28
pretend , 28
below , 28
waited , 28
passing , 28
After , 28
several , 28
smoke , 28
redskin , 28
beasts , 28
kill , 28
bo , 28
Barbecue , 28
afraid , 28
circle , 28
darkness , 28
hoped , 28
present , 28
ho , 28
perfectly , 28
feared , 28
lips , 28
finished , 28
legs , 28
instantly , 28
step , 28
meal , 28
death , 28
complain , 28
forth , 28
deck , 28
played , 24
Certainly , 24
presently , 24
itself , 24
darted , 24
sprang , 24
Again , 24
closed , 24
easy , 24
ordinary , 24
doubt , 24
decided , 24
afterwards , 24
pretended , 24
master , 24
names , 24
carrying , 24
given , 24
occasion , 24
danced , 24
dress , 24
pride , 24
fate , 24
awake , 24
rage , 24
finger , 24
tears , 24
try , 24
bring , 24
glass , 24
retorted , 24
breath , 24
demanded , 24
fun , 24
tail , 24
red , 24
drawers , 24
myself , 24
vain , 24
treated , 24
dragged , 24
admiration , 24
nor , 24
language , 24
fond , 24
mouths , 24
added , 24
growing , 24
especially , 24
eagerly , 24
clothes , 24
threateningly , 24
thimble , 24
set , 24
touch , 24
letters , 24
minds , 24
passion , 24
disappeared , 24
none , 24
spirit , 24
However , 24
Which , 24
mummy , 24
James , 24
pity , 24
Quick , 24
Every , 24
success , 24
makes , 24
promise , 24
Once , 24
Did , 24
food , 24
follow , 24
appearance , 24
strike , 24
floating , 24
along , 24
certain , 24
moons , 24
path , 24
shoulder , 24
courage , 24
Would , 24
tea , 24
wake , 24
simple , 24
worth , 24
shot , 24
sense , 24
else , 24
melancholy , 24
evil , 24
caught , 24
difference , 24
cake , 24
wolves , 24
gathered , 24
See , 24
fitted , 24
breast , 24
standing , 24
dreams , 24
firmly , 24
lives , 24
needed , 24
remained , 24
sword , 24
hard , 24
Or , 24
swim , 24
stayed , 24
innocent , 24
mast , 24
space , 24
weapons , 24
sewing , 20
four , 20
dream , 20
opened , 20
friends , 20
star , 20
snapped , 20
meaning , 20
drawer , 20
opportunity , 20
27 , 20
bowl , 20
humour , 20
break , 20
bark , 20
sit , 20
empty , 20
work , 20
box , 20
born , 20
table , 20
neck , 20
impressed , 20
unless , 20
careless , 20
allowed , 20
corner , 20
beautifully , 20
brushed , 20
join , 20
five , 20
hidden , 20
map , 20
quick , 20
Such , 20
Come , 20
puzzled , 20
mine , 20
missed , 20
holding , 20
catch , 20
servants , 20
strong , 20
yard , 20
pulling , 20
determined , 20
meantime , 20
Can , 20
singing , 20
second , 20
row , 20
milk , 20
dust , 20
chief , 20
seem , 20
sharply , 20
doesn , 20
troubled , 20
ignorance , 20
hurt , 20
opinion , 20
properly , 20
paper , 20
crowing , 20
chain , 20
people , 20
surprised , 20
drawing , 20
hiding , 20
rising , 20
sudden , 20
ass , 20
Cinderella , 20
sent , 20
reply , 20
erect , 20
offensive , 20
deal , 20
None , 20
ordered , 20
teach , 20
instance , 20
mermaid , 20
taking , 20
Listen , 20
gentle , 20
gazed , 20
ceased , 20
burst , 20
bye , 20
knee , 20
carefully , 20
goes , 20
admitted , 20
lying , 20
wait , 20
moving , 20
friend , 20
rate , 20
war , 20
shadows , 20
ear , 20
odd , 20
book , 20
Long , 20
thinks , 20
Poor , 20
care , 20
lest , 20
Bill , 20
crew , 20
Mullins , 20
clung , 20
somewhat , 20
screech , 20
tribe , 20
fallen , 20
heavy , 20
savage , 20
rolled , 20
These , 20
Johnny , 20
unknown , 20
shore , 20
swimming , 20
eat , 20
Have , 20
begun , 20
victory , 20
eight , 20
direction , 20
rang , 20
lonely , 20
saved , 20
raising , 20
built , 20
difficult , 20
simply , 20
shape , 20
wall , 20
chamber , 20
possible , 20
Was , 20
neither , 20
past , 20
English , 20
choose , 20
Twin , 20
orders , 20
dared , 20
hours , 20
Marooners , 20
Rock , 20
tiny , 20
didn , 20
daughter , 20
lantern , 20
scarcely , 20
pain , 20
fighting , 20
truth , 20
kite , 20
Good , 20
usual , 20
braves , 20
sad , 20
barred , 20
cloak , 20
tap , 20
